Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.003204,3.306,41.658,49.907,95.772,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.015971,12.767,14.006,50.604,97.012,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,1,0.029345,13.375,0.000,50.244,0.000,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.042856,13.511,20.732,50.055,90.858,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.055969,13.113,13.887,49.925,91.633,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,1,0.069483,13.514,0.000,49.531,0.000,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.082752,13.269,21.078,49.678,85.927,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.096186,13.433,0.009,49.347,72.502,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.108937,12.751,7.005,49.758,66.755,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.122165,13.228,13.634,49.618,67.161,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.135259,13.093,14.017,49.592,68.085,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.148631,13.372,13.765,49.306,68.478,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.161957,13.326,13.898,49.056,69.050,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.174856,12.899,6.923,49.212,63.074,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.187887,13.031,13.920,49.279,63.962,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.200820,12.933,27.848,49.419,78.877,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.213834,13.015,7.031,49.370,72.894,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.226989,13.154,20.953,49.304,80.692,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.239957,12.968,6.716,49.588,74.441,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.253084,13.127,6.929,49.538,68.242,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.266487,13.404,27.803,49.637,82.642,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.279492,13.005,0.007,49.946,69.644,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.292173,12.681,6.933,50.712,63.896,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.305534,13.361,13.913,50.519,64.448,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.318909,13.375,13.887,50.234,64.960,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.332386,13.476,13.892,49.803,65.375,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.346170,13.784,13.918,49.105,65.509,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.358874,12.704,13.892,49.488,66.698,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.372256,13.383,13.896,49.205,67.210,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.384943,12.686,13.879,49.558,68.403,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.398277,13.334,13.935,49.303,69.004,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.411635,13.358,6.906,48.987,62.551,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.424248,12.613,13.918,49.474,63.857,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.437812,13.564,13.884,48.996,64.176,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.450457,12.645,14.025,49.427,65.556,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.463824,13.367,13.914,49.430,66.102,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.476934,13.109,13.768,49.370,66.761,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.490199,13.265,13.921,49.185,67.417,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.502647,12.448,13.890,50.221,68.858,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.516127,13.480,13.900,49.796,69.278,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.529186,13.058,6.908,49.789,63.128,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.542664,13.478,13.914,49.217,63.564,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.556225,13.561,13.883,48.983,63.886,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.568864,12.639,13.906,49.403,65.153,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.581778,12.914,14.023,49.567,66.262,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.595114,13.336,13.785,49.296,66.711,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.608460,13.345,13.965,49.005,67.331,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.621119,12.659,13.850,49.443,68.521,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.634905,13.786,13.873,48.682,68.608,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.647451,12.546,6.929,49.238,62.991,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.660475,13.024,13.902,49.246,63.869,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.673430,12.955,13.911,49.698,64.825,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.686955,13.525,13.905,49.246,65.205,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.699699,12.744,13.957,49.566,66.418,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.712705,13.006,13.840,49.613,67.252,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.725916,13.211,27.992,49.382,82.033,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.739285,13.369,27.728,49.286,96.392,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.752606,13.320,0.009,49.018,83.080,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,1,0.765644,13.038,0.000,48.904,0.000,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.778345,12.701,27.638,49.836,84.979,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.791584,13.239,7.026,49.678,78.766,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.804527,12.944,6.891,49.762,72.713,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.817764,13.236,6.959,49.600,66.436,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.831138,13.374,14.000,49.506,67.062,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.844059,12.921,13.770,49.717,67.910,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.857127,13.069,13.912,49.928,68.753,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.870185,13.058,14.023,49.949,69.719,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.883366,13.181,13.781,49.803,70.319,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.896812,13.445,6.910,49.464,63.783,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.909947,13.136,13.898,49.714,64.545,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.923299,13.351,13.935,49.446,65.129,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.936301,13.002,13.888,49.540,66.015,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.949413,13.112,13.904,49.466,66.807,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.962615,13.203,13.857,49.330,67.461,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.975622,13.006,14.033,49.416,68.488,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,0.988704,13.082,13.801,49.390,69.207,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,1.001674,12.971,6.930,49.469,63.166,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,1.014941,13.267,13.885,49.282,63.784,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,1.028072,13.131,13.898,49.218,64.552,,,,,,,,
PerformanceTest.exe,0x0000020DC91F0A10,DXGI,0,0,0,Composed: Flip,0,1.040886,12.814,13.925,49.478,65.663,,,,,,,,
