Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,3.204815,41.725,41.671,4.633,13.106,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.197004,2992.189,2987.942,0.442,8.859,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.720425,523.421,528.075,0.315,13.512,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.727708,7.283,6.983,0.358,13.212,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.952087,224.379,222.451,0.475,11.285,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.963581,11.494,13.802,0.222,13.593,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.970924,7.344,6.912,0.271,13.161,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.977702,6.777,6.974,0.387,13.358,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,6.984550,6.848,7.368,0.283,13.877,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,7.109559,125.008,124.670,0.313,13.539,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,7.116884,7.325,6.947,0.314,13.161,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,7.123649,6.766,6.941,0.376,13.336,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,7.130531,6.882,6.957,0.277,13.411,,,,,,,,
devenv.exe,0x0000000027921140,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,7.137540,7.009,6.912,0.263,13.315,,,,,,,,
