Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.055285,50.458,48.644,197.944,248.884,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.105978,50.693,55.620,197.813,253.811,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.156957,50.979,48.624,197.342,251.457,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.207440,50.483,48.635,197.837,249.609,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.258170,50.730,55.616,197.445,254.495,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.308875,50.705,48.745,197.272,252.535,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.359402,50.527,48.540,197.187,250.548,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.410409,51.007,48.595,196.574,248.136,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.460609,50.201,55.632,196.864,253.567,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.511100,50.490,48.800,196.783,251.876,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.561342,50.242,48.488,196.925,250.123,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.612052,50.710,48.621,196.565,248.034,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.662551,50.500,55.582,196.423,253.116,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.712692,50.141,62.537,196.661,265.512,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.763351,50.658,34.725,196.953,249.579,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.813646,50.295,48.655,196.945,247.939,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.863866,50.221,55.614,197.150,253.332,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.914278,50.412,48.740,197.254,251.660,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,0.965270,50.992,48.502,196.661,249.171,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.015496,50.226,55.621,196.832,254.566,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.065724,50.229,48.674,197.381,253.011,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.116346,50.621,48.632,197.165,251.022,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.166673,50.327,62.633,197.149,263.328,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.217121,50.448,62.411,197.436,275.291,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.268021,50.900,27.900,197.585,252.291,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.318503,50.481,48.533,198.118,250.343,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.368824,50.321,48.672,198.189,248.694,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.419687,50.863,104.424,197.762,302.254,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.470379,50.692,6.734,197.355,258.296,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.521628,51.249,48.634,196.578,255.682,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.572019,50.391,48.635,197.011,253.926,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.622494,50.475,48.656,197.046,252.107,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.672880,50.387,55.559,197.081,257.280,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.723173,50.292,41.701,197.925,248.688,,,,,,,,
PerformanceTest.exe,0x00000283415CEE30,DXGI,0,0,0,Composed: Flip,0,1.774066,50.893,55.587,197.594,253.382,,,,,,,,
