Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.008186,4.119,13.756,52.723,70.180,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.019494,11.308,13.903,56.466,72.775,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.034984,15.491,13.888,55.973,71.173,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.049828,14.843,20.869,56.184,77.200,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.065532,15.704,13.914,55.411,75.409,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.080233,14.701,41.667,55.993,102.375,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.095663,15.431,0.007,55.678,86.952,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,1,0.110681,15.018,0.000,55.627,0.000,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.125581,14.900,13.927,55.895,70.961,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.140726,15.145,20.936,55.755,76.752,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.155823,15.097,13.891,55.604,75.546,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.170881,15.058,13.844,55.591,74.332,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.185742,14.860,14.079,55.723,73.550,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.200894,15.152,13.635,55.543,72.033,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.215874,14.981,13.910,55.588,70.963,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.230794,14.920,20.903,55.718,76.946,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.245918,15.123,13.837,55.605,75.660,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.260910,14.992,13.905,55.715,74.572,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.276064,15.154,13.895,55.715,73.313,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.291104,15.040,13.885,55.618,72.158,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.306225,15.122,13.891,55.668,70.927,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.321213,14.988,20.880,55.614,76.819,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.336181,14.968,13.885,55.632,75.736,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.351451,15.270,13.907,55.450,74.373,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.366439,14.988,13.932,55.445,73.317,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.381394,14.955,13.850,55.800,72.212,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.396130,14.736,13.915,55.983,71.391,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.411495,15.366,34.823,55.721,90.848,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.426784,15.289,27.682,55.805,103.242,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.441906,15.122,20.984,55.660,109.103,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,1,0.456902,14.996,0.000,55.967,0.000,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.472122,15.220,13.799,55.604,92.686,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.487067,14.945,0.009,56.682,77.750,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.502662,15.595,27.795,56.193,89.950,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.517763,15.101,6.953,56.377,81.803,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.532315,14.552,6.934,57.261,74.184,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.548408,16.093,34.926,56.387,93.017,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.563671,15.263,6.746,56.419,84.500,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.578560,14.889,6.960,56.889,76.571,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.594543,15.983,13.877,56.540,74.465,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.609791,15.249,13.889,56.447,73.105,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.624740,14.949,13.896,56.518,72.052,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.640133,15.392,20.862,56.206,77.521,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.655771,15.638,13.928,55.494,75.811,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.671232,15.461,13.878,54.986,74.228,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.685639,14.407,13.887,56.379,73.707,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.700923,15.283,13.893,56.233,72.318,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.715762,14.839,14.017,56.360,71.496,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.731257,15.495,20.890,55.944,76.891,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.746735,15.478,13.865,55.400,75.278,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.761773,15.038,13.784,55.526,74.024,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.776662,14.888,13.872,55.777,73.007,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.791623,14.962,13.894,55.811,71.940,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.806531,14.907,13.914,56.002,70.947,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.821905,15.374,20.836,55.598,76.408,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.836876,14.972,13.925,55.703,75.362,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.851955,15.079,13.886,55.579,74.169,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.866986,15.031,13.904,55.530,73.041,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.881939,14.953,13.927,55.830,72.015,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.896937,14.998,48.720,56.017,105.737,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.912142,15.205,13.910,55.648,104.442,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,1,0.927428,15.285,0.000,55.325,0.000,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.942892,15.464,13.744,55.294,87.437,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.957721,14.829,0.007,55.657,72.615,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.972705,14.984,13.911,55.725,71.541,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,0.987661,14.956,20.854,55.843,77.439,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.002641,14.980,13.969,55.808,76.428,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.018026,15.385,27.777,55.377,88.821,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.032793,14.768,7.149,56.012,81.203,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.048204,15.410,6.669,55.620,72.461,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.062684,14.480,13.917,56.480,71.898,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.078121,15.437,20.850,56.011,77.310,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.093266,15.144,14.014,55.833,76.180,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.108874,15.608,13.776,55.510,74.348,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.124044,15.170,13.880,55.411,73.058,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.138732,14.688,13.931,55.737,72.300,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.153736,15.004,13.865,55.787,71.162,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.169183,15.447,20.880,55.338,76.594,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.183954,14.771,13.875,55.645,75.698,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.198920,14.966,14.011,55.656,74.744,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.214382,15.462,13.775,55.157,73.056,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.229089,14.706,13.905,55.438,72.256,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.244505,15.417,13.922,55.014,70.761,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.259008,14.503,20.841,55.623,77.098,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.274013,15.004,13.894,55.705,75.987,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.289044,15.031,13.874,55.659,74.830,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.304022,14.978,13.918,55.666,73.770,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.319524,15.502,13.870,55.382,72.138,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.334336,14.811,13.907,55.689,71.234,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.349057,14.721,20.878,56.022,77.391,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.364304,15.247,13.980,55.743,76.124,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.379354,15.050,13.847,55.672,74.920,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.394453,15.099,13.855,55.562,73.676,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.409712,15.259,34.721,55.364,93.137,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.424573,14.861,0.007,56.051,78.283,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.439726,15.153,13.915,55.826,77.045,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.454759,15.033,13.884,55.634,75.897,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.470076,15.317,13.900,55.846,74.480,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.485675,15.600,13.896,55.573,72.776,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.500302,14.626,13.889,56.039,72.038,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.514908,14.607,20.841,56.382,78.273,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.530784,15.876,13.935,55.544,76.332,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.545744,14.960,14.038,55.503,75.410,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.561072,15.328,13.741,55.139,73.823,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.576049,14.977,13.870,55.235,72.716,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.591150,15.101,13.905,55.202,71.520,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.605729,14.579,13.883,55.718,70.824,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.620549,14.820,20.857,55.889,76.861,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.635858,15.309,14.021,55.531,75.573,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.650893,15.035,13.899,55.500,74.437,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.666100,15.207,13.764,55.362,72.994,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.680985,14.885,13.898,55.775,72.007,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.695778,14.793,13.890,55.929,71.104,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.710802,15.024,21.102,55.945,77.183,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.726073,15.271,13.798,55.724,75.710,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.741176,15.104,13.786,55.797,74.392,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.756230,15.053,13.862,55.779,73.201,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.771303,15.074,13.897,55.703,72.024,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.786253,14.949,13.899,55.816,70.973,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.801499,15.247,20.878,55.573,76.604,,,,,,,,
PerformanceTest.exe,0x00000237D9A0EB70,DXGI,0,0,0,Composed: Flip,0,1.816715,15.216,13.886,55.525,75.274,,,,,,,,
