Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.003797,2.117,6.990,26.686,44.045,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.009669,5.872,13.847,28.321,52.019,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.017526,7.857,0.006,28.012,44.168,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,1,0.025340,7.814,0.000,28.030,0.000,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.032875,7.535,6.929,28.137,35.749,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.040366,7.492,20.986,28.243,49.243,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.047996,7.629,20.698,27.903,62.311,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.055527,7.531,0.006,27.863,54.786,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,1,0.062880,7.353,0.000,28.116,0.000,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,1,0.070827,7.947,0.000,27.999,0.000,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.078109,7.282,13.908,28.035,46.113,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.085589,7.481,0.009,28.224,38.641,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.093159,7.569,6.925,28.178,37.997,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.101201,8.042,6.967,27.712,36.921,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.108205,7.003,6.943,28.222,36.861,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.116007,7.802,6.944,27.901,36.003,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.123543,7.537,14.061,27.883,42.528,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.130984,7.441,13.865,28.011,48.952,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.138922,7.938,6.907,27.407,47.921,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.146042,7.120,6.980,27.789,47.781,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.153586,7.544,6.947,27.729,47.184,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.161104,7.518,7.058,27.889,46.724,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.168378,7.273,6.766,28.066,46.217,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.175882,7.504,13.856,28.198,52.568,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.183359,7.477,13.896,28.270,58.987,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,1,0.191150,7.792,0.000,28.454,0.000,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.198612,7.462,0.007,28.554,43.740,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,1,0.206519,7.907,0.000,28.207,0.000,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.213777,7.258,6.947,28.145,35.523,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.221672,7.895,20.834,27.813,48.463,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.229167,7.496,7.022,27.549,47.988,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.237041,7.874,6.928,27.198,47.042,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.244041,6.999,6.970,27.710,47.013,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.251513,7.472,6.953,27.962,46.494,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.258751,7.238,6.922,28.282,46.178,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.266428,7.677,6.934,28.089,45.435,,,,,,,,
PerformanceTest.exe,0x0000021E63042B50,DXGI,0,0,0,Composed: Flip,0,0.273828,7.400,6.965,28.244,45.000,,,,,,,,
