Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.056028,51.162,48.692,197.841,266.541,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.107885,51.856,97.394,197.296,312.079,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.157090,49.205,0.008,199.082,262.882,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.208160,51.070,48.971,198.281,260.783,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.258937,50.777,55.085,198.373,265.090,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.310274,51.337,41.719,198.077,255.472,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.360961,50.688,48.750,198.206,253.535,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.411435,50.474,48.745,198.319,251.807,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.462265,50.830,48.415,198.049,249.391,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.513244,50.978,55.619,197.826,254.031,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.564119,50.875,48.631,197.379,251.787,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.614789,50.671,104.281,197.704,305.398,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.665091,50.302,7.027,197.890,262.123,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.716034,50.943,48.496,197.356,259.676,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.766370,50.336,41.681,198.245,251.021,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.817480,51.110,48.623,197.911,248.534,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.867918,50.438,55.623,197.962,253.719,,,,,,,,
PerformanceTest.exe,0x000001D061F48080,DXGI,0,0,0,Composed: Flip,0,0.918489,50.571,48.624,197.772,251.772,,,,,,,,
