Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.013430,5.868,0.000,58.814,91.519,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.025057,11.627,6.840,65.482,86.731,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.043531,18.474,20.837,64.719,89.094,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.060903,17.372,27.672,64.852,99.394,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.079072,18.169,6.959,65.103,88.184,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.097539,18.467,13.892,64.718,83.609,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.115097,17.558,20.881,65.092,86.931,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.132551,17.454,20.818,65.923,90.296,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.150984,18.433,13.875,65.379,85.738,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.168965,17.981,20.863,65.448,88.620,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.186799,17.833,13.888,66.175,84.674,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.205519,18.721,20.979,65.246,86.932,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.223049,17.530,20.771,65.745,90.173,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.241268,18.219,13.877,65.767,85.831,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.259888,18.620,20.828,65.613,88.039,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.278108,18.219,13.885,65.084,83.704,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.295517,17.410,21.139,65.368,87.433,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.314457,18.940,20.564,64.395,89.058,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.332720,18.263,13.904,64.238,84.699,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.349883,17.163,20.814,64.836,88.350,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.368128,18.245,13.909,64.744,84.014,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.385783,17.655,20.847,65.232,87.206,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.403633,17.850,20.853,66.570,90.209,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.421327,17.694,13.888,66.786,86.403,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.439511,18.185,20.851,66.810,89.069,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.458040,18.529,20.954,66.394,91.494,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.477232,19.192,13.770,65.619,86.072,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.494876,17.644,20.859,66.397,89.287,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.513219,18.343,13.929,65.755,84.873,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.531138,17.919,20.827,65.756,87.782,,,,,,,,
PerformanceTest.exe,0x000002532C7531C0,DXGI,0,0,0,Composed: Flip,0,0.549507,18.370,13.884,65.193,83.296,,,,,,,,
