Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.008102,6.000,0.000,22.674,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.013954,5.852,0.000,23.068,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.020347,6.393,13.782,23.017,54.344,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.026645,6.298,0.000,22.925,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.032897,6.251,0.007,22.684,41.802,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.038831,5.934,0.000,22.803,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.045613,6.782,0.000,22.071,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.051650,6.037,20.860,22.008,43.909,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.057506,5.856,0.008,22.497,38.061,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.063651,6.145,0.000,22.548,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.069693,6.042,13.934,22.512,39.808,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.075614,5.920,20.758,22.822,54.645,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.081914,6.300,0.008,22.626,48.352,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.088441,6.527,0.000,22.723,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.094218,5.777,0.000,22.971,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.100432,6.215,0.000,22.654,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.106485,6.053,27.893,22.731,51.674,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.113430,6.945,0.010,21.975,44.739,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.119066,5.636,0.000,22.456,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.125343,6.277,0.000,22.457,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.131229,5.886,20.728,22.462,47.669,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.137303,6.074,0.008,22.603,41.603,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.143547,6.245,0.000,22.517,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.149822,6.275,0.000,22.306,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.155698,5.875,6.957,22.376,30.166,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.161813,6.116,6.936,22.417,30.986,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.167992,6.178,6.973,22.390,31.780,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.173954,5.963,6.923,22.611,32.740,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.180150,6.196,7.073,22.626,33.616,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.186251,6.100,6.844,22.770,34.360,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.192579,6.329,6.919,22.590,34.950,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.198573,5.994,0.000,22.775,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.204779,6.206,6.960,22.579,29.711,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.210902,6.123,6.975,22.645,30.563,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.217064,6.162,6.924,22.670,31.325,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.223428,6.364,6.944,22.477,31.905,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.229304,5.876,7.038,22.802,33.068,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.235539,6.235,6.876,22.692,33.708,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.241827,6.287,6.942,22.601,34.363,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.247881,6.054,6.928,22.599,35.236,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.254176,6.295,0.000,22.300,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.260203,6.027,6.992,22.444,29.907,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.266537,6.334,6.925,22.311,30.497,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.272366,5.829,6.952,22.715,31.619,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.278409,6.043,6.947,22.825,32.523,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.284703,6.294,6.957,22.681,33.187,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.290760,6.057,6.931,22.866,34.061,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.296971,6.211,7.059,22.837,34.909,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.303148,6.178,6.826,22.686,35.557,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,1,0.309330,6.182,0.000,22.573,0.000,,,,,,,,
PerformanceTest.exe,0x000002D358188C40,DXGI,0,0,0,Composed: Flip,0,0.315737,6.407,6.998,22.375,29.967,,,,,,,,
