Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.005876,3.092,6.852,43.529,64.642,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.008041,2.165,13.857,57.885,76.335,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.019362,11.321,20.881,62.992,85.894,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.036245,16.883,13.907,62.400,82.917,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.052937,16.692,13.853,62.031,80.079,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.068696,15.759,21.021,62.545,85.342,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.085186,16.491,13.747,62.338,82.597,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.101440,16.253,13.878,62.447,80.222,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.117984,16.544,20.881,62.188,84.559,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.134049,16.065,13.885,62.357,82.379,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.150555,16.506,13.877,62.129,79.750,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.167143,16.588,20.850,61.819,84.011,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.183298,16.155,14.045,61.945,81.901,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.199033,15.735,13.769,62.494,79.936,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.215645,16.612,20.850,62.123,84.173,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.232188,16.543,13.888,61.865,81.519,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.248069,15.881,13.897,62.372,79.535,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.264394,16.325,20.933,62.984,84.144,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.284178,19.784,13.782,59.494,78.142,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.296818,12.640,13.913,63.094,79.415,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.313339,16.522,20.865,62.876,83.758,,,,,,,,
PerformanceTest.exe,0x0000017B4CA692D0,DXGI,0,0,0,Composed: Flip,0,0.330746,17.406,13.880,61.771,80.232,,,,,,,,
