Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.043622,39.017,41.608,150.890,196.575,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.082476,38.854,41.855,150.952,199.576,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.121589,39.113,34.578,150.888,195.041,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.160399,38.810,34.715,151.146,190.946,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.199102,38.703,41.781,151.331,194.023,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.237982,38.880,41.646,151.468,196.790,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.277367,39.386,34.730,150.914,192.134,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.316325,38.958,41.696,150.725,194.873,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.354954,38.630,34.710,151.094,190.953,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.394118,39.163,41.825,150.884,193.616,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.432986,38.868,41.702,150.799,196.450,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.471725,38.739,34.622,150.926,192.333,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.510696,38.971,41.703,150.810,195.065,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.549540,38.845,34.712,151.080,190.932,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.588338,38.797,41.888,151.117,194.023,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.627393,39.055,41.532,150.845,196.500,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.666297,38.904,34.750,150.889,192.346,,,,,,,,
PerformanceTest.exe,0x000002727FBEDF50,DXGI,0,0,0,Composed: Flip,0,0.705095,38.798,41.683,151.044,195.231,,,,,,,,
