Application,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChangeActual,MsUntilRenderComplete,MsUntilDisplayed,GPUOnlyPower(W),TotalMinusUSBCPower(W),TotalPower(W),AMDPower(W),PerfPerWattGPUOnly(F/J),PerfPerWattTotalMinusUSBC(F/J),PerfPerWattTotal(F/J),PerfPerWattAMD(F/J)
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.032393,28.876,6.755,112.558,155.040,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.061053,28.660,34.743,112.632,161.122,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.091209,30.155,41.754,111.766,172.721,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.119845,28.636,6.891,112.388,150.975,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.149133,29.288,20.823,112.039,142.510,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.177539,28.406,48.675,112.702,162.778,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.206842,29.303,13.883,113.024,147.358,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.236156,29.314,27.778,112.656,145.822,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.265264,29.107,27.939,112.397,144.654,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.294132,28.868,27.635,112.351,143.421,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.323947,29.815,27.836,111.371,141.441,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.352829,28.882,27.768,111.300,140.328,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.381428,28.599,34.760,111.578,146.488,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.410404,28.975,27.800,111.430,145.314,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.439280,28.876,27.793,111.469,144.230,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.468162,28.882,27.801,111.461,143.149,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.497164,29.003,27.756,111.348,141.903,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.525563,28.398,27.799,111.792,141.304,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.554643,29.081,34.763,111.594,146.986,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.583578,28.934,27.812,111.530,145.863,,,,,,,,
PerformanceTest.exe,0x00000162D1F7D3F0,DXGI,0,0,0,Composed: Flip,0,0.612302,28.724,27.886,111.640,145.025,,,,,,,,
